PatternID,PatternSet,PatternNature,PatternName,PatternDescription,RegexPattern,Priority,Category,Fix,Remediation,RemediationDescription,RemediationEffort,Mandays,JDK8Compatible,JDK21Compatible,CompatibilityStatus,PlanFirstChange,ScriptableBySearchReplace,CompatibilityRuleHint
4,Set 1,CORE (JAVA-API - Removed),CORBA,CORBA (REMOVED in JDK 11+),javax\.rmi\.CORBA|org\.omg\.CORBA,Medium,Removed APIs,Remove CORBA; replace with REST or RMI,Manual-Remove/Replace,Remove legacy tech; redesign to HTTP/REST or RMI.,High,4,Yes,Yes,Safe,Yes,No,Dual-Safe-SecurityUpdate
5,Set 1,CORE (JAVA-API - Transaction),Java Transaction,Java Transaction API (REMOVED in JDK 11+),javax\.transaction\.(?!xa\.),Medium,Removed APIs,Use Jakarta Transactions or Spring Transaction Management,Semi-Auto,Move to Jakarta Transactions/Spring Tx; adjust imports/config.,Medium,0.5,Yes,Yes,Safe,Yes,No,Dual-Semi
6,Set 2,CORE (JAVA-API - Utility),BASE64 Encoder,Internal APIs (CRITICAL - sun.* packages),sun\.misc\.BASE64Encoder,Critical,Internal APIs,Replace sun.misc.BASE64Encoder with java.util.Base64 (available in Java 8+): Base64.getEncoder().encodeToString(bytes),Auto-Refactor,Mechanical refactor; works on both JDK 8 and JDK 21.,Low,0.25,Yes,Yes,Safe,Yes,Yes,Dual-Safe-Base64
7,Set 2,CORE (JAVA-API - Utility),BASE64 Decoder,Internal APIs (CRITICAL - sun.* packages),sun\.misc\.BASE64Decoder,Critical,Internal APIs,Replace sun.misc.BASE64Decoder with java.util.Base64 (available in Java 8+): Base64.getDecoder().decode(encoded),Auto-Refactor,Mechanical refactor; works on both JDK 8 and JDK 21.,Low,0.25,Yes,Yes,Safe,Yes,Yes,Dual-Safe-Base64
8,Set 2,CORE (JAVA-API - Internal),Unsafe,Internal APIs (CRITICAL - sun.* packages),sun\.misc\.Unsafe,Critical,Internal APIs,Use VarHandle or Atomic classes,Manual-API-Change,Replace with VarHandle/Atomic or redesign for safe concurrency.,High,3,Yes,No,Requires Migration,No,No,Dual-Unsafe-Refactor
9,Set 2,CORE (JAVA-API - XML),XML APIs,Internal XML APIs,com\.sun\.org\.apache\.xerces,High,Internal APIs,Use standard JDK XML APIs or Apache Xerces,Manual-Remove/Replace,Remove internal parser usage; depend on standard JAXP/Apache Xerces.,Medium,2,Yes,No,Requires Migration,No,No,Dual-NeedsMigration
10,Set 2,CORE (JAVA-API - Image),Image APIs,Internal image APIs,com\.sun\.image\.codec\.jpeg,High,Internal APIs,Replace com.sun.image.codec.jpeg with javax.imageio.ImageIO (Java 8+).,Auto-Refactor,Mechanical refactor to ImageIO; works on both JDK 8 and JDK 21.,Low,0.25,Yes,Yes,Safe,Yes,Yes,Dual-Safe-ImageIO
11,Set 3,CORE (SECURITY - Deprecated),DES,Deprecated Security & Cryptography,(DES|DESede|ARCFOUR)(?=\s*\)),High,Security,"Use AES or modern algorithms: Cipher cipher = Cipher.getInstance(""AES"");",Manual-API-Change,Adopt modern algorithms/protocols and update configs.,Medium,1.5,Yes,Yes,Safe,Yes,No,Dual-Safe-SecurityUpdate
12,Set 3,CORE (SECURITY - Deprecated),RC4,Deprecated Security & Cryptography,(RC2|RC4)(?=\s*\)),High,Security,Use AES or modern algorithms,Manual-API-Change,Adopt modern algorithms/protocols and update configs.,Medium,1.5,Yes,Yes,Safe,Yes,No,Dual-Safe-SecurityUpdate
13,Set 3,CORE (SECURITY - Vulnerability),MD5,Weak hash algorithms,MessageDigest.*MD5,High,Security,"Replace with SHA-256: MessageDigest digest = MessageDigest.getInstance(""SHA-256"");",Manual-API-Change,Adopt modern algorithms/protocols and update configs.,Medium,1.5,Yes,Yes,Safe,Yes,No,Dual-Safe-SecurityUpdate
14,Set 3,CORE (SECURITY - Protocol),TLS,Old SSL/TLS versions,(SSLv2|SSLv3|TLSv1|TLSv1\.1),High,Security,Use TLSv1.3 or higher,Manual-API-Change,Adopt modern algorithms/protocols and update configs.,Low,0.75,Yes,Yes,Safe,Yes,No,Dual-Safe-SecurityUpdate
15,Set 4,CORE (LANGUAGE - Deprecated),Finalize,Finalize methods (DEPRECATED in JDK 9 removal planned),protected\s+void\s+finalize\s*\(\s*\),Medium,Deprecated Features,Remove finalize; use AutoCloseable and try-with-resources,Manual-API-Change,Refactor to supported APIs (try-with-resources/concurrency/public access).,Low,0.75,Yes,Yes,Safe,Yes,No,Dual-Safe-ResourceMgmt
16,Set 4,CORE (LANGUAGE - Deprecated),Finalize,Object.finalize() calls,\.finalize\s*\(\s*\),Medium,Deprecated Features,Remove finalize calls; rely on proper resource management,Manual-API-Change,Refactor to supported APIs (try-with-resources/concurrency/public access).,Low,0.75,Yes,Yes,Safe,Yes,No,Dual-Safe-ResourceMgmt
17,Set 4,CORE (LANGUAGE - Deprecated),Finalize,Manual close() without try-with-resources,\.close\s*\(\s*\);(?!.*\s+catch),Medium,Code Quality,"Use try-with-resources: try (BufferedReader br = new BufferedReader(new FileReader(""file.txt""))) { /* ... */ }",Manual-API-Change,Refactor to supported APIs (try-with-resources/concurrency/public access).,Low,0.75,Yes,Yes,Safe,Yes,No,Dual-Safe-ResourceMgmt
18,Set 5,CORE (DATE - Legacy),Old Date,Old Date class usage,new\s+Date\s*\(,Medium,Date/Time API,Use java.time.LocalDate: LocalDate date = LocalDate.now();,Semi-Auto,Use java.time and add generics; basic refactor then review.,Medium,0.5,Yes,Yes,Safe,Yes,No,Dual-Safe-JavaTime
19,Set 5,CORE (DATE - Legacy),SimpleDateFormat,SimpleDateFormat (not thread-safe),new\s+SimpleDateFormat\s*\(,Medium,Date/Time API,"Use DateTimeFormatter: DateTimeFormatter formatter = DateTimeFormatter.ofPattern(""yyyy-MM-dd"");",Manual-API-Change,Replace with DateTimeFormatter and thread-safe patterns.,Medium,1.5,Yes,Yes,Safe,Yes,No,Dual-Safe-JavaTime
20,Set 5,CORE (DATE - Legacy),Calendar,Calendar usage,Calendar\.getInstance\s*\(,Medium,Date/Time API,Use LocalDateTime or ZonedDateTime,Semi-Auto,Use java.time and add generics; basic refactor then review.,Medium,0.5,Yes,Yes,Safe,Yes,No,Dual-Safe-JavaTime
21,Set 5,CORE (DATE - Legacy),Timestamp,java.sql.Date/Time/Timestamp,java\.sql\.(Date|Time|Timestamp),Medium,Date/Time API,Use java.time API,Semi-Auto,Use java.time and add generics; basic refactor then review.,Medium,0.5,Yes,Yes,Safe,Yes,No,Dual-Safe-JavaTime
22,Set 6,CORE (LANGUAGE - Generics),Raw List,Raw types (pre-generics),\b(List|Set|Map|Collection|ArrayList|HashMap|HashSet)\b\s+[A-Za-z_]\w*\s*=\s*(?!new\s+\1\s*<),Low,Generics,Use generics: List<String> list = new ArrayList<>();,Semi-Auto,Introduce generics / use diamond operator; compile & fix warnings.,Low,0.4,Yes,Yes,Safe,Yes,No,Dual-Safe-Language
23,Set 6,CORE (LANGUAGE - Naming),Underscore,Underscore as identifier (REMOVED in JDK 9+),\b_\b(?=\s*(=|;|\))),Low,Language Changes,Rename variable,Auto-Replace,Rename `_` identifier to a valid name.,Low,0.1,Yes,Yes,Safe,Yes,Yes,Dual-Safe-Language
24,Set 6,CORE (LANGUAGE - Generics),DiamondOperator,Diamond operator missing,new\s+(ArrayList|HashMap|HashSet|LinkedList)<[^>]+>\s*\(\s*\)(?!\s*;),Low,Generics,Add diamond operator: List<String> list = new ArrayList<>();,Semi-Auto,Introduce generics / use diamond operator; compile & fix warnings.,Low,0.4,Yes,Yes,Safe,Yes,No,Dual-Safe-Language
25,Set 7,CORE (THREADING - Deprecated),Thread.stop,Thread.stop/suspend/resume (REMOVED),Thread\.(stop|suspend|resume)\s*\(,High,Concurrency,Use ExecutorService or CompletableFuture,Manual-API-Change,Refactor to supported APIs (try-with-resources/concurrency/public access).,Medium,1.5,Yes,Yes,Safe,Yes,No,Dual-Safe-ResourceMgmt
26,Set 7,CORE (SECURITY - Deprecated),SecurityManager,Security Manager (DEPRECATED JDK 17  removed JDK 21),System\.(get|set)SecurityManager|new\s+SecurityManager,Critical,Security,Remove SecurityManager; use modern security frameworks,Manual-API-Change,Remove SecurityManager usages; rely on modern security boundaries.,High,3,Yes,No,Requires Migration,No,No,Dual-RemovedFeature
27,Set 7,CORE (JAVA-API - Removed),AppletAPI,Applet API (REMOVED in JDK 17+),extends\s+Applet|java\.applet\.,High,Removed APIs,Remove Applet; migrate to web technologies,Manual-Remove/Replace,Remove legacy tech; redesign to HTTP/REST or web UI.,High,4,Yes,Yes,Safe,Yes,No,Dual-Safe-SecurityUpdate
28,Set 7,CORE (LANGUAGE - Obsolete),Observable,Observable/Observer (DEPRECATED JDK 9),java\.util\.(Observable|Observer),Medium,Deprecated Features,Use java.beans.PropertyChangeSupport or reactive streams,Manual-API-Change,Refactor to supported APIs (try-with-resources/concurrency/public access).,Medium,1.5,Yes,Yes,Safe,Yes,No,Dual-Safe-ResourceMgmt
29,Set 7,CORE (JAVA-API - Utility),Runtime,Runtime.runFinalizersOnExit (REMOVED),Runtime\.runFinalizersOnExit,High,Removed APIs,Remove; use proper resource management,Manual-API-Change,Refactor to supported APIs (try-with-resources/concurrency/public access).,Low,0.75,Yes,Yes,Safe,Yes,No,Dual-Safe-ResourceMgmt
30,Set 8,CORE (LANGUAGE - Reflection),ReflectionPrivate,Reflection on private fields (will fail with modules),\.setAccessible\s*\(\s*true\s*\),High,Reflection,Use MethodHandles,Manual-API-Change,Refactor to supported APIs (try-with-resources/concurrency/public access).,Medium,1.5,Yes,Yes,Safe,Yes,No,Dual-Safe-ResourceMgmt
31,Set 8,CORE (LANGUAGE - Reflection),ClassNewInstances,Class.newInstance() (DEPRECATED),\.class\.newInstance\s*\(,Medium,Reflection,Replace Class.newInstance() with clazz.getDeclaredConstructor().newInstance() (Java 8+).,Auto-Refactor,Mechanical refactor; works on both JDK 8 and JDK 21.,Low,0.25,Yes,Yes,Safe,Yes,Yes,Dual-Safe-NewInstance
32,Set 8,CORE (LANGUAGE - Access),PackageLevel,Package-level reflection,Package\.getPackage,Medium,Reflection,Avoid; use module-aware APIs,Manual-API-Change,Refactor to supported APIs (try-with-resources/concurrency/public access).,Low,0.75,Yes,Yes,Safe,Yes,No,Dual-Safe-ResourceMgmt
