PATTERNID,PATTERNSET,PATTERNNATURE,PATTERNNAME,PATTERNDESCRIPTION,REGEXPATTERN,PRIORITY,CATEGORY,FIX,REMEDIATION,REMEDIATIONDESCRIPTION,REMEDIATIONEFFORT,MANDAYS,SNO_PHASE_BATCH,TOTAL,APPLICATIONNAME,TRACK,PHASE,BATCH,APPLICABLE THIRD PARTY NEW JAR,JDK-COMPATIBILITYSTATUS-CONCLUDED,JDK8-COMPATIBLE,JDK21-COMPATIBLE,JDKCOMPATIBILITYRULEHINT,WLS12CCOMPATIBLE,WLS14CCOMPATIBLE,OPENREWRITE_RECEIPE,TESTCASE_UNIT_NO,TOTAL
4,Set 1,CORE (JAVA-API - Removed),CORBA,CORBA (REMOVED in JDK 11+),javax\.rmi\.CORBA|org\.omg\.CORBA,Medium,Removed APIs,Remove CORBA; replace with REST or RMI,Manual-Remove/Replace,Remove legacy tech; redesign to HTTP/REST or RMI.,High,4,8,1,1-fpms,a. UAT TRACK (BAU),PHASE 1,BATCH 3,(blank),SAFE works BOTH JDK (replace depreciated APIs),to verify runtime - New  API ?,to verify runtime - New  API ?,Dual-Safe-SecurityUpdate,(blank),(blank),P001,UT001,1
5,Set 1,CORE (JAVA-API - Transaction),Java Transaction,Java Transaction API (REMOVED in JDK 11+),javax\.transaction\.(?!xa\.),Medium,Removed APIs,Use Jakarta Transactions or Spring Transaction Management,Semi-Auto,Move to Jakarta Transactions/Spring Tx; adjust imports/config.,Medium,0.5,10,1037,1-fpms,a. UAT TRACK (BAU),PHASE 1,BATCH 3,(blank),SAFE works BOTH JDK (replace depreciated APIs),to verify runtime - New  API ?,to verify runtime - New  API ?,Dual-Semi,(blank),(blank),P002,UT002,1037
11,Set 3,CORE (SECURITY - Deprecated),DES,Deprecated Security & Cryptography,(DES|DESede|ARCFOUR)(?=\s*\)),High,Security,"Use AES or modern algorithms: Cipher cipher = Cipher.getInstance(""AES"");",Manual-API-Change,Adopt modern algorithms/protocols and update configs.,Medium,1.5,18,224,1-fpms,a. UAT TRACK (BAU),PHASE 1,BATCH 5,(blank),SAFE works BOTH JDK (replace depreciated APIs),to verify runtime - New  API ?,to verify runtime - New  API ?,Dual-Safe-SecurityUpdate,(blank),(blank),P003,UT003,224
12,Set 3,CORE (SECURITY - Deprecated),RC4,Deprecated Security & Cryptography,(RC2|RC4)(?=\s*\)),High,Security,Use AES or modern algorithms,Manual-API-Change,Adopt modern algorithms/protocols and update configs.,Medium,1.5,19,13,1-fpms,a. UAT TRACK (BAU),PHASE 1,BATCH 5,(blank),SAFE works BOTH JDK (replace depreciated APIs),to verify runtime - New  API ?,to verify runtime - New  API ?,Dual-Safe-SecurityUpdate,(blank),(blank),P004,UT004,13
13,Set 3,CORE (SECURITY - Vulnerability),MD5,Weak hash algorithms,MessageDigest.*MD5,High,Security,"Replace with SHA-256: MessageDigest digest = MessageDigest.getInstance(""SHA-256"");",Manual-API-Change,Adopt modern algorithms/protocols and update configs.,Medium,1.5,20,3,1-fpms,a. UAT TRACK (BAU),PHASE 1,BATCH 5,(blank),SAFE works BOTH JDK (replace depreciated APIs),to verify runtime - New  API ?,to verify runtime - New  API ?,Dual-Safe-SecurityUpdate,(blank),(blank),P005,UT005,3
15,Set 4,CORE (LANGUAGE - Deprecated),Finalize,Finalize methods (DEPRECATED in JDK 9 removal planned),protected\s+void\s+finalize\s*\(\s*\),Medium,Deprecated Features,Remove finalize; use AutoCloseable and try-with-resources,Manual-API-Change,Refactor to supported APIs (try-with-resources/concurrency/public access).,Low,0.75,16,526,1-fpms,a. UAT TRACK (BAU),PHASE 1,BATCH 5,(blank),SAFE works BOTH JDK (replace depreciated APIs),to verify runtime - New  API ?,to verify runtime - New  API ?,Dual-Safe-ResourceMgmt,(blank),(blank),P006,UT006,526
18,Set 5,CORE (DATE - Legacy),Old Date,Old Date class usage,new\s+Date\s*\(,Medium,Date/Time API,Use java.time.LocalDate: LocalDate date = LocalDate.now();,Semi-Auto,Use java.time and add generics; basic refactor then review.,Medium,0.5,5,1001,1-fpms,a. UAT TRACK (BAU),PHASE 1,BATCH 2,(blank),SAFE works BOTH JDK (replace depreciated APIs),to verify runtime - New  API ?,to verify runtime - New  API ?,Dual-Safe-JavaTime,(blank),(blank),P007,UT007,1001
19,Set 5,CORE (DATE - Legacy),SimpleDateFormat,SimpleDateFormat (not thread-safe),new\s+SimpleDateFormat\s*\(,Medium,Date/Time API,"Use DateTimeFormatter: DateTimeFormatter formatter = DateTimeFormatter.ofPattern(""yyyy-MM-dd"");",Manual-API-Change,Replace with DateTimeFormatter and thread-safe patterns.,Medium,1.5,15,911,1-fpms,a. UAT TRACK (BAU),PHASE 1,BATCH 5,(blank),SAFE works BOTH JDK (replace depreciated APIs),to verify runtime - New  API ?,to verify runtime - New  API ?,Dual-Safe-JavaTime,(blank),(blank),P008,UT008,911
20,Set 5,CORE (DATE - Legacy),Calendar,Calendar usage,Calendar\.getInstance\s*\(,Medium,Date/Time API,Use LocalDateTime or ZonedDateTime,Semi-Auto,Use java.time and add generics; basic refactor then review.,Medium,0.5,4,168,1-fpms,a. UAT TRACK (BAU),PHASE 1,BATCH 2,(blank),SAFE works BOTH JDK (replace depreciated APIs),to verify runtime - New  API ?,to verify runtime - New  API ?,Dual-Safe-JavaTime,(blank),(blank),P009,UT009,168
21,Set 5,CORE (DATE - Legacy),Timestamp,java.sql.Date/Time/Timestamp,java\.sql\.(Date|Time|Timestamp),Medium,Date/Time API,Use java.time API,Semi-Auto,Use java.time and add generics; basic refactor then review.,Medium,0.5,6,4830,1-fpms,a. UAT TRACK (BAU),PHASE 1,BATCH 2,(blank),SAFE works BOTH JDK (replace depreciated APIs),to verify runtime - New  API ?,to verify runtime - New  API ?,Dual-Safe-JavaTime,(blank),(blank),P010,UT010,4830
